player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,rating_1.0_online_Career,rating_1.0_lan_Career,rating_1.0_major_Career,rating_1.0_data,weapon_data,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
huNter,1.12,0.64,72,1.09,79.1,0.73,2646,48.3,2332,1.13,79.1,6.3,135,3642,0.13,0.09,0.09,1752,314,351,303,1.16,1.01,76.1,13.6,1890,1082,480,159,28,3,1996,15,201,386,52,5,59.3,67.4,8,1.11,1.12,1.1,1.07,-,-,21,15,13,3,0,0
HooXi,0.88,0.67,66.6,0.78,62.8,0.53,2167,47.9,2698,0.8,62.8,6.1,158,4052,0.12,0.09,0.07,1562,-531,296,425,0.7,0.86,78,10.6,2490,1095,352,95,17,3,1576,24,189,317,65,11,61.4,33.5,6,0.85,0.86,0.83,0.81,-,-,19,20,17,2,0,0
rain,1.09,0.68,69.5,1.16,79.2,0.69,3017,52.1,2969,1.02,79.2,5.8,162,4394,0.14,0.09,0.08,2049,48,627,570,1.1,1.16,75.4,20,2345,1336,503,172,31,7,2387,4,116,479,30,13,64.2,64.2,7,1.02,1.02,1.02,0.97,-,-,23,11,15,2,0,0
broky,1.16,0.59,73.9,1.08,75,0.75,3467,32,2759,1.26,75,3.6,170,4640,0.1,0.09,0.1,2332,708,423,237,1.78,1.04,72.8,12.3,2308,1476,627,185,38,6,1083,1700,75,585,27,11,65.3,75.9,15,1.08,1.05,1.1,1.11,-,-,37,24,30,6,1,0
oSee,1.07,0.61,71.7,1.01,68.5,0.68,2767,28.7,2489,1.11,68.5,2.6,152,4099,0.09,0.09,0.1,1912,278,435,285,1.53,1.08,76.8,15.7,2187,1257,486,140,27,2,837,1469,22,418,24,12,59.2,57.9,7,1.1,1.13,1.02,1.05,-,-,35,28,14,7,0,0
NAF-FLY,1.13,0.61,74.5,0.97,80.3,0.71,2836,39.7,2427,1.17,80.3,6.9,148,3991,0.14,0.09,0.1,1947,409,260,210,1.24,0.9,75.4,9.4,2044,1264,512,142,23,6,2134,83,202,375,49,8,59.5,74.3,15,1.09,1.11,1.07,1.06,-,-,22,21,10,6,0,0
jabbi,1.07,0.65,70.8,1.05,74,0.69,3457,56.1,3267,1.06,74,4.1,192,5005,0.12,0.1,0.09,2327,190,504,495,1.02,1.01,74,14,2678,1456,652,184,30,5,2751,19,140,503,31,25,59.4,61.5,8,0.99,0.98,1.01,0.99,-,-,18,13,12,7,0,0
b1t,1.1,0.63,71.8,1.09,74.8,0.68,2497,61.8,2299,1.09,74.8,4.2,136,3663,0.12,0.09,0.09,1693,198,422,377,1.12,1.07,76.5,16.2,1970,1075,466,120,30,2,1941,62,115,351,21,14,63.2,60.3,8,1.05,1.05,1.04,1.06,-,-,32,15,14,5,0,0
Grim,1.11,0.7,70.5,1.15,81.7,0.74,2784,52.3,2639,1.05,81.7,3.3,142,3747,0.13,0.12,0.13,1800,145,415,421,0.99,1.03,70.8,15.8,1947,1092,475,194,35,4,2222,34,48,467,18,4,45.1,66.2,14,1.05,1.07,0.98,0.83,-,-,30,13,16,3,0,0
xertioN,1.11,0.67,70.1,1.17,79.9,0.71,2924,50.5,2758,1.06,79.9,6.5,155,4133,0.14,0.1,0.09,1964,166,502,541,0.93,1.06,73.9,16.7,2169,1231,542,159,28,4,2349,10,93,427,45,13,61.9,62.6,10,1.02,1.02,1.02,0.96,-,-,26,17,12,2,0,0
niko,1.01,0.66,67.9,1.03,71.4,0.62,513,50.5,543,0.94,71.4,30,829,0.62,0.14,0.1,0.1,342,-30,89,91,0.98,1.02,77.5,15.6,487,208,102,28,3,1,402,0,38,68,6,0,60,53.3,4,1.01,1.02,0.98,0.82,-,-,0,1,3,1,0,0
floppy,1.07,0.65,71.8,1.02,75.6,0.67,2480,51.2,2375,1.04,75.6,4,139,3681,0.13,0.11,0.13,1662,105,311,354,0.88,0.93,72.3,12.2,2019,1047,448,132,34,1,1947,10,68,430,25,1,46,57.6,12,1.06,1.08,1.02,0.81,-,-,35,17,18,4,2,0
Qikert,1,0.65,69.9,0.96,69.6,0.61,2022,53.6,2150,0.94,69.6,6.5,127,3333,0.12,0.1,0.08,1434,-128,372,374,0.99,1.04,71,15,1899,974,354,86,18,2,1642,12,75,263,32,7,59.1,51.2,7,1.03,1.05,0.97,0.95,-,-,12,13,4,1,0,0
NAF,1.13,0.61,74.5,0.97,80.3,0.71,2836,39.7,2427,1.17,80.3,6.9,148,3991,0.14,0.09,0.1,1947,409,260,210,1.24,0.9,75.4,9.4,2044,1264,512,142,23,6,2134,83,202,375,49,8,59.5,74.3,15,1.09,1.11,1.07,1.06,-,-,22,21,10,6,0,0
broky ,1.16,0.59,73.9,1.08,75,0.75,3467,32,2759,1.26,75,3.6,170,4640,0.1,0.09,0.1,2332,708,423,237,1.78,1.04,72.8,12.3,2308,1476,627,185,38,6,1083,1700,75,585,27,11,65.3,75.9,15,1.08,1.05,1.1,1.11,-,-,37,24,30,6,1,0
