column,min,max
UNIVERSAL_tick,2.0,356172.0
UNIVERSAL_round,1.0,41.0
UNIVERSAL_time,-47.703125,115.0
UNIVERSAL_remaining_time,-7.984375,115.0
UNIVERSAL_freeze_end,1209.0,350748.0
UNIVERSAL_end,1179.0,356186.0
UNIVERSAL_CT_wins,0.0,1.0
UNIVERSAL_CT_score,0.0,21.0
UNIVERSAL_T_score,0.0,19.0
UNIVERSAL_CT_alive_num,0.0,5.0
UNIVERSAL_T_alive_num,0.0,5.0
UNIVERSAL_CT_total_hp,0.0,500.0
UNIVERSAL_T_total_hp,0.0,500.0
UNIVERSAL_CT_equipment_value,0.0,35100.0
UNIVERSAL_T_equipment_value,0.0,31600.0
UNIVERSAL_CT_losing_streak,0.0,10.0
UNIVERSAL_T_losing_streak,0.0,12.0
UNIVERSAL_is_bomb_dropped,0.0,1.0
UNIVERSAL_is_bomb_being_planted,0.0,1.0
UNIVERSAL_is_bomb_being_defused,0.0,1.0
UNIVERSAL_is_bomb_defused,0.0,1.0
UNIVERSAL_is_bomb_planted_at_A_site,0.0,1.0
UNIVERSAL_is_bomb_planted_at_B_site,0.0,1.0
UNIVERSAL_bomb_X,0.0,2172.244384765625
UNIVERSAL_bomb_Y,0.0,2995.910400390625
UNIVERSAL_bomb_Z,0.0,184.29977416992188
UNIVERSAL_bomb_mx_pos1,0.0,1.0
UNIVERSAL_bomb_mx_pos2,0.0,1.0
UNIVERSAL_bomb_mx_pos3,0.0,1.0
UNIVERSAL_bomb_mx_pos4,0.0,1.0
UNIVERSAL_bomb_mx_pos5,0.0,1.0
UNIVERSAL_bomb_mx_pos6,0.0,1.0
UNIVERSAL_bomb_mx_pos7,0.0,1.0
UNIVERSAL_bomb_mx_pos8,0.0,1.0
UNIVERSAL_bomb_mx_pos9,0.0,1.0
_X,-1730.9722,2663.9727
_Y,-771.96875,3593.9727
_Z,-70.12097,475.96875
_pitch,-88.9999,88.99991
_yaw,-180.0,179.99966
_velocity_X,-1118.1328,999.7344
_velocity_Y,-1347.1406,846.41406
_velocity_Z,-2176.0322,1250.1348
_health,0.0,100.0
_armor_value,0.0,100.0
_active_weapon_magazine_size,0.0,50.0
_active_weapon_ammo,0.0,50.0
_active_weapon_magazine_ammo_left_%,0.0,1.0
_active_weapon_max_ammo,0.0,120.0
_total_ammo_left,0.0,120.0
_active_weapon_total_ammo_left_%,0.0,1.0
_flash_duration,0.0,5.3216596
_flash_max_alpha,0.0,255.0
_balance,0.0,16000.0
_current_equip_value,0.0,8450.0
_round_start_equip_value,0.0,8250.0
_cash_spent_this_round,0.0,11600.0
_is_alive,0.0,1.0
_is_CT,0.0,1.0
_is_shooting,0.0,1.0
_is_crouching,0.0,0.0
_is_ducking,0.0,1.0
_is_duck_jumping,0.0,0.0
_is_walking,0.0,1.0
_is_spotted,0.0,1.0
_is_scoped,0.0,1.0
_is_defusing,0.0,1.0
_is_reloading,0.0,1.0
_is_in_bombsite,0.0,1.0
_zoom_lvl,0.0,2.0
_velo_modifier,0.19999999,1.0
_stat_kills,0.0,40.0
_stat_HS_kills,0.0,24.0
_stat_opening_kills,0.0,10.0
_stat_MVPs,0.0,9.0
_stat_deaths,0.0,29.0
_stat_opening_deaths,0.0,9.0
_stat_assists,0.0,18.0
_stat_flash_assists,0.0,10.0
_stat_damage,0.0,4213.0
_stat_weapon_damage,0.0,3786.0
_stat_nade_damage,0.0,808.0
_stat_survives,-1.0,21.0
_stat_KPR,0.0,5.0
_stat_ADR,0.0,216.66666666666666
_stat_DPR,0.0,2.0
_stat_HS%,0.0,1.0
_stat_SPR,-1.0,1.0
_inventory_C4,0.0,1.0
_inventory_Taser,0.0,0.0
_inventory_USP-S,0.0,1.0
_inventory_P2000,0.0,1.0
_inventory_Glock-18,0.0,1.0
_inventory_Dual Berettas,0.0,1.0
_inventory_P250,0.0,1.0
_inventory_Tec-9,0.0,1.0
_inventory_CZ75 Auto,0.0,0.0
_inventory_Five-SeveN,0.0,1.0
_inventory_Desert Eagle,0.0,1.0
_inventory_R8 Revolver,0.0,1.0
_inventory_MAC-10,0.0,1.0
_inventory_MP9,0.0,1.0
_inventory_MP7,0.0,1.0
_inventory_MP5-SD,0.0,1.0
_inventory_UMP-45,0.0,1.0
_inventory_PP-Bizon,0.0,0.0
_inventory_P90,0.0,1.0
_inventory_Nova,0.0,1.0
_inventory_XM1014,0.0,1.0
_inventory_Sawed-Off,0.0,0.0
_inventory_MAG-7,0.0,1.0
_inventory_M249,0.0,0.0
_inventory_Negev,0.0,0.0
_inventory_FAMAS,0.0,1.0
_inventory_Galil AR,0.0,1.0
_inventory_AK-47,0.0,1.0
_inventory_M4A4,0.0,1.0
_inventory_M4A1-S,0.0,1.0
_inventory_SG 553,0.0,1.0
_inventory_AUG,0.0,1.0
_inventory_SSG 08,0.0,1.0
_inventory_AWP,0.0,1.0
_inventory_G3SG1,0.0,0.0
_inventory_SCAR-20,0.0,0.0
_inventory_HE Grenade,0.0,0.0
_inventory_Flashbang,0.0,1.0
_inventory_Smoke Grenade,0.0,1.0
_inventory_Incendiary Grenade,0.0,1.0
_inventory_Molotov,0.0,1.0
_inventory_Decoy Grenade,0.0,1.0
_active_weapon_C4,0.0,1.0
_active_weapon_Knife,0.0,1.0
_active_weapon_Taser,0.0,0.0
_active_weapon_USP-S,0.0,1.0
_active_weapon_P2000,0.0,1.0
_active_weapon_Glock-18,0.0,1.0
_active_weapon_Dual Berettas,0.0,1.0
_active_weapon_P250,0.0,1.0
_active_weapon_Tec-9,0.0,1.0
_active_weapon_CZ75 Auto,0.0,0.0
_active_weapon_Five-SeveN,0.0,1.0
_active_weapon_Desert Eagle,0.0,1.0
_active_weapon_R8 Revolver,0.0,1.0
_active_weapon_MAC-10,0.0,1.0
_active_weapon_MP9,0.0,1.0
_active_weapon_MP7,0.0,1.0
_active_weapon_MP5-SD,0.0,1.0
_active_weapon_UMP-45,0.0,1.0
_active_weapon_PP-Bizon,0.0,0.0
_active_weapon_P90,0.0,1.0
_active_weapon_Nova,0.0,1.0
_active_weapon_XM1014,0.0,1.0
_active_weapon_Sawed-Off,0.0,0.0
_active_weapon_MAG-7,0.0,1.0
_active_weapon_M249,0.0,0.0
_active_weapon_Negev,0.0,0.0
_active_weapon_FAMAS,0.0,1.0
_active_weapon_Galil AR,0.0,1.0
_active_weapon_AK-47,0.0,1.0
_active_weapon_M4A4,0.0,1.0
_active_weapon_M4A1-S,0.0,1.0
_active_weapon_SG 553,0.0,1.0
_active_weapon_AUG,0.0,1.0
_active_weapon_SSG 08,0.0,1.0
_active_weapon_AWP,0.0,1.0
_active_weapon_G3SG1,0.0,0.0
_active_weapon_SCAR-20,0.0,0.0
_active_weapon_HE Grenade,0.0,0.0
_active_weapon_Flashbang,0.0,1.0
_active_weapon_Smoke Grenade,0.0,1.0
_active_weapon_Incendiary Grenade,0.0,1.0
_active_weapon_Molotov,0.0,1.0
_active_weapon_Decoy Grenade,0.0,1.0
_hltv_rating_2.0,0.4117647,1.0
_hltv_DPR,0.0,0.78125
_hltv_KAST,0.4054054,1.0
_hltv_Impact,0.35514018,1.0
_hltv_ADR,0.36983472,1.0
_hltv_KPR,0.3888889,1.0
_hltv_total_kills,0.011957484,1.0
_hltv_HS%,0.0,0.84444445
_hltv_total_deaths,0.012088975,1.0
_hltv_KD_ratio,0.3207547,1.0
_hltv_dmgPR,0.36983472,1.0
_hltv_grenade_dmgPR,0.0,1.0
_hltv_maps_played,0.008547009,1.0
_hltv_saved_by_teammatePR,0.07692308,0.84615386
_hltv_saved_teammatesPR,0.11111111,1.0
_hltv_opening_kill_rating,0.28333333,1.0
_hltv_team_W%_after_opening,0.533,0.832
_hltv_opening_kill_in_W_rounds,0.23423423,0.9189189
_hltv_rating_1.0_all_Career,0.0,1.0
_hltv_clutches_1on1_ratio,0.0,inf
_hltv_clutches_won_1on1,0.0,1.0
_hltv_clutches_won_1on2,0.0,1.0
_hltv_clutches_won_1on3,0.0,1.0
_hltv_clutches_won_1on4,0.0,1.0
_hltv_clutches_won_1on5,0.0,1.0
